rawmsg,mintime,maxtime,msgcount,icao24,nicsuppla,hcr,nic,survstatus,nicsupplb,odd,baroalt,lat,lon,alt,nicsupplc,groundspeed,gsresolution,heading,timeflag,surface,hour
8da84a7b589b86a818a68867b906,1618945252.896,1618945252.896,1,a84a7b,false,185.2,9,0,false,true,true,34.56093998278602,-110.0605773925781,9144,false,,,,false,false,1618945200
8da84a7b589b830a5e09ec87e2f1,1618945253.186,1618945253.402,1,a84a7b,false,185.2,9,0,false,false,true,34.56074523925781,-110.0617077885842,9144,false,,,,false,false,1618945200
8da84a7b589b830a4c09c440bfbf,1618945254.341,1618945254.546,1,a84a7b,false,185.2,9,0,false,false,true,34.56033325195312,-110.0639498963648,9144,false,,,,false,false,1618945200
8da84a7b589b86a7f6a63a75b5c5,1618945254.669,1618945254.669,1,a84a7b,false,185.2,9,0,false,true,true,34.56014859474311,-110.0650405883789,9144,false,,,,false,false,1618945200
8da84a7b589b830a060924ba0977,1618945258.323,1618945258.323,1,a84a7b,false,185.2,9,0,false,false,true,34.55873107910156,-110.0729183274872,9144,false,,,,false,false,1618945200
8da84a7b589b86a784a5386ed7b7,1618945261.424,1618945261.424,1,a84a7b,false,185.2,9,0,false,true,true,34.5574951171875,-110.0798034667969,9144,false,,,,false,false,1618945200
8da84a7b589b86a772a510bb5b2b,1618945262.41,1618945262.41,1,a84a7b,false,185.2,9,0,false,true,true,34.55707614704714,-110.0820922851562,9144,false,,,,false,false,1618945200
8da84a7b589b86a754a4cad8da0b,1618945264.214,1618945264.214,1,a84a7b,false,185.2,9,0,false,true,true,34.55637786347987,-110.0860977172852,9144,false,,,,false,false,1618945200
8da84a7b589b83098c080da948f0,1618945265.206,1618945265.298,1,a84a7b,false,185.2,9,0,false,false,true,34.55593872070312,-110.088557029257,9144,false,,,,false,false,1618945200
8da84a7b589b83097007cd56b61a,1618945267.012,1618945267.012,1,a84a7b,false,185.2,9,0,false,false,true,34.5552978515625,-110.092144401706,9144,false,,,,false,false,1618945200
8da84a7b589b830954078d271857,1618945268.463,1618945268.463,1,a84a7b,false,185.2,9,0,false,false,true,34.55465698242188,-110.095731774155,9144,false,,,,false,false,1618945200
8da84a7b589b86a700a40f437ed2,1618945268.982,1618945268.982,1,a84a7b,false,185.2,9,0,false,true,true,34.55442266949152,-110.0967979431152,9144,false,,,,false,false,1618945200
8da84a7b589b83094207662c79af,1618945269.503,1618945269.503,1,a84a7b,false,185.2,9,0,false,false,true,34.55424499511719,-110.0979178292411,9144,false,,,,false,false,1618945200
8da84a7b589b83093a0756513aa4,1618945269.91,1618945269.91,1,a84a7b,false,185.2,9,0,false,false,true,34.55406188964844,-110.0988146723533,9144,false,,,,false,false,1618945200
8da84a7b589b86a6b4a36305c41b,1618945273.393,1618945273.393,1,a84a7b,false,185.2,9,0,false,true,true,34.55265368445445,-110.1066398620605,9144,false,,,,false,false,1618945200
8da84a7b589b8308f406b6532916,1618945273.909,1618945273.909,1,a84a7b,false,185.2,9,0,false,false,true,34.55245971679688,-110.1077831034758,9144,false,,,,false,false,1618945200
8da84a7b589b86a698a324e5187a,1618945275.019,1618945275.019,1,a84a7b,false,185.2,9,0,false,true,true,34.552001953125,-110.1102447509766,9144,false,,,,false,false,1618945200
8da84a7b589b8308d806764b2393,1618945275.54,1618945275.54,1,a84a7b,false,185.2,9,0,false,false,true,34.55181884765625,-110.1113704759247,9144,false,,,,false,false,1618945200
8da84a7b589b86a688a2fdcdb0f7,1618945275.904,1618945275.904,1,a84a7b,false,185.2,9,0,false,true,true,34.55162953522245,-110.112476348877,9144,false,,,,false,false,1618945200
8da84a7b589b8308c6064ed56d09,1618945276.434,1618945276.562,1,a84a7b,false,185.2,9,0,false,false,true,34.55140686035156,-110.1136125837054,9144,false,,,,false,false,1618945200
8da84a7b589b8308b40626de375c,1618945277.49,1618945277.49,1,a84a7b,false,185.2,9,0,false,false,true,34.55099487304688,-110.115854691486,9144,false,,,,false,false,1618945200
8da84a7b589b93086e0587cd0c20,1618945281.507,1618945281.507,1,a84a7b,false,185.2,9,0,false,false,true,34.54939270019531,-110.1247670699139,9151.620000000001,false,,,,false,false,1618945200
8da84a7b589b86a60aa1e32ebec1,1618945283.198,1618945283.198,1,a84a7b,false,185.2,9,0,false,true,true,34.54869674423993,-110.1286125183105,9144,false,,,,false,false,1618945200
8da84a7b589b86a602a1d4beed85,1618945283.534,1618945283.534,1,a84a7b,false,185.2,9,0,false,true,true,34.54851053528866,-110.1294708251953,9144,false,,,,false,false,1618945200
8da84a7b589b86a5f8a1bc4d1680,1618945284.246,1618945284.246,1,a84a7b,false,185.2,9,0,false,true,true,34.54827777409957,-110.1308441162109,9144,false,,,,false,false,1618945200
8da84a7b589b8308340507d810c8,1618945284.923,1618945284.923,1,a84a7b,false,185.2,9,0,false,false,true,34.54806518554688,-110.1319418148119,9144,false,,,,false,false,1618945200
8da84a7b589b83082a04ef4c36aa,1618945285.301,1618945285.301,1,a84a7b,false,185.2,9,0,false,false,true,34.54783630371094,-110.1332870794802,9144,false,,,,false,false,1618945200
8da84a7b589b83082204df23b5ca,1618945285.697,1618945285.697,1,a84a7b,false,185.2,9,0,false,false,true,34.54765319824219,-110.1341839225925,9144,false,,,,false,false,1618945200
8da84a7b589b83081804c7ce17cd,1618945286.212,1618945286.212,1,a84a7b,false,185.2,9,0,false,false,true,34.54742431640625,-110.1355291872608,9144,false,,,,false,false,1618945200
8da84a7b589b86a5caa157345a55,1618945286.833,1618945286.833,1,a84a7b,false,185.2,9,0,false,true,true,34.54720707262977,-110.1366233825684,9144,false,,,,false,false,1618945200
8da84a7b589b8307ea045f5901d5,1618945288.981,1618945288.981,1,a84a7b,false,185.2,9,0,false,false,true,34.54637145996094,-110.1413586674904,9144,false,,,,false,false,1618945200
8da84a7b589b8307d80437d8a3d2,1618945289.933,1618945289.933,1,a84a7b,false,185.2,9,0,false,false,true,34.54595947265625,-110.143600775271,9144,false,,,,false,false,1618945200
8da84a7b589b86a58ca0ca640c4a,1618945290.418,1618945290.418,1,a84a7b,false,185.2,9,0,false,true,true,34.54576395325741,-110.1446914672852,9144,false,,,,false,false,1618945200
8da84a7b589b86a582a0b22485a0,1618945290.966,1618945290.966,1,a84a7b,false,185.2,9,0,false,true,true,34.54553119206832,-110.1460647583008,9144,false,,,,false,false,1618945200
8da84a7b589b8307b403e760915d,1618945291.906,1618945291.906,1,a84a7b,false,185.2,9,0,false,false,true,34.54513549804688,-110.1480849908323,9144,false,,,,false,false,1618945200
8da84a7b589b86a568a07b8f0e39,1618945292.371,1618945292.371,1,a84a7b,false,185.2,9,0,false,true,true,34.5449260129767,-110.1492118835449,9144,false,,,,false,false,1618945200
8da84a7b589b86a562a06c05344f,1618945292.883,1618945292.883,1,a84a7b,false,185.2,9,0,false,true,true,34.54478635626324,-110.1500701904297,9144,false,,,,false,false,1618945200
8da84a7b589b83079c03af48bc70,1618945293.303,1618945293.303,1,a84a7b,false,185.2,9,0,false,false,true,34.54458618164062,-110.1512239417251,9144,false,,,,false,false,1618945200
8da84a7b589b86a550a044871528,1618945293.804,1618945293.804,1,a84a7b,false,185.2,9,0,false,true,true,34.54436738612288,-110.1523590087891,9144,false,,,,false,false,1618945200
8da84a7b589b86a546a02d8b6e0b,1618945294.322,1618945294.322,1,a84a7b,false,185.2,9,0,false,true,true,34.54413462493379,-110.1536750793457,9144,false,,,,false,false,1618945200
8da84a7b589b86a534a0067c5f2c,1618945295.368,1618945295.368,1,a84a7b,false,185.2,9,0,false,true,true,34.54371565479343,-110.1559066772461,9144,false,,,,false,false,1618945200
8da84a7b589b86a52c9ff64ecd75,1618945295.843,1618945295.843,1,a84a7b,false,185.2,9,0,false,true,true,34.54352944584216,-110.1568222045898,9144,false,,,,false,false,1618945200
8da84a7b589b86a5229fdff2d32e,1618945296.47,1618945296.47,1,a84a7b,false,185.2,9,0,false,true,true,34.54329668465307,-110.1581382751465,9144,false,,,,false,false,1618945200
8da84a7b589b86a51c9fcf285041,1618945296.795,1618945296.795,1,a84a7b,false,185.2,9,0,false,true,true,34.54315702793961,-110.1590538024902,9144,false,,,,false,false,1618945200
8da84a7b589b830754030f4025f7,1618945297.299,1618945297.299,1,a84a7b,false,185.2,9,0,false,false,true,34.54293823242188,-110.1601923728476,9144,false,,,,false,false,1618945200
8da84a7b589b83074802f7cf4bcf,1618945297.907,1618945297.907,1,a84a7b,false,185.2,9,0,false,false,true,34.54266357421875,-110.1615376375159,9144,false,,,,false,false,1618945200
8da84a7b589b86a4fe9f90c146b6,1618945298.429,1618945298.429,1,a84a7b,false,185.2,9,0,false,true,true,34.54245874437235,-110.1626586914062,9144,false,,,,false,false,1618945200
8da84a7b589b86a4e69f5989a16b,1618945299.775,1618945299.775,1,a84a7b,false,185.2,9,0,false,true,true,34.54190011751854,-110.1658058166504,9144,false,,,,false,false,1618945200
8da84a7b589b830714027fc6722d,1618945300.805,1618945300.805,1,a84a7b,false,185.2,9,0,false,false,true,34.54147338867188,-110.1682639608578,9144,false,,,,false,false,1618945200
8da84a7b589b86a4c49f0bd40a63,1618945301.793,1618945301.793,1,a84a7b,false,185.2,9,0,false,true,true,34.54110872947563,-110.1702690124512,9144,false,,,,false,false,1618945200
8da84a7b589b8306fa02478b0522,1618945302.247,1618945302.247,1,a84a7b,false,185.2,9,0,false,false,true,34.54087829589844,-110.1714029117506,9144,false,,,,false,false,1618945200
8da84a7b589b8306d601f783bb2f,1618945304.398,1618945304.398,1,a84a7b,false,185.2,9,0,false,false,true,34.54005432128906,-110.1758871273119,9144,false,,,,false,false,1618945200
8da84a7b589b86a47a9e67e86a73,1618945306.148,1618945306.148,1,a84a7b,false,185.2,9,0,false,true,true,34.53938629667638,-110.1796531677246,9144,false,,,,false,false,1618945200
8da84a7b589b8306a8018fd1f2ae,1618945306.994,1618945306.994,1,a84a7b,false,185.2,9,0,false,false,true,34.53900146484375,-110.1817166075415,9144,false,,,,false,false,1618945200
8da84a7b589b86a4629e30a73ff7,1618945307.49,1618945307.49,1,a84a7b,false,185.2,9,0,false,true,true,34.53882766982256,-110.1828002929688,9144,false,,,,false,false,1618945200
8da84a7b589b86a45a9e2051451e,1618945307.809,1618945307.809,1,a84a7b,false,185.2,9,0,false,true,true,34.53864146087129,-110.1837158203125,9144,false,,,,false,false,1618945200
8da84a7b589b8306900157237d8b,1618945308.411,1618945308.411,1,a84a7b,false,185.2,9,0,false,false,true,34.5384521484375,-110.1848555584343,9144,false,,,,false,false,1618945200
8da84a7b589b830686013fd0f2a1,1618945308.916,1618945308.916,1,a84a7b,false,185.2,9,0,false,false,true,34.53822326660156,-110.1862008231027,9144,false,,,,false,false,1618945200
8da84a7b589b83067a01288ef597,1618945309.557,1618945309.557,1,a84a7b,false,185.2,9,0,false,false,true,34.53794860839844,-110.1874900350765,9144,false,,,,false,false,1618945200
8da84a7b589b8306700110faae19,1618945310.153,1618945310.153,1,a84a7b,false,185.2,9,0,false,false,true,34.5377197265625,-110.1888352997449,9144,false,,,,false,false,1618945200
8da84a7b589b86a42a9db3a99dff,1618945310.675,1618945310.675,1,a84a7b,false,185.2,9,0,false,true,true,34.53752420716366,-110.1899528503418,9144,false,,,,false,false,1618945200
8da84a7b589b83065000c8b5caa4,1618945311.888,1618945311.888,1,a84a7b,false,185.2,9,0,false,false,true,34.5369873046875,-110.19287109375,9144,false,,,,false,false,1618945200
8da84a7b589b86a40a9d6c1724e6,1618945312.449,1618945312.449,1,a84a7b,false,185.2,9,0,false,true,true,34.53677937135858,-110.1940155029297,9144,false,,,,false,false,1618945200
8da84a7b589b83063e00a03a27ed,1618945312.94,1618945312.94,1,a84a7b,false,185.2,9,0,false,false,true,34.53657531738281,-110.1951132015306,9144,false,,,,false,false,1618945200
8da84a7b589b86a3e09d0e9602c8,1618945314.819,1618945314.819,1,a84a7b,false,185.2,9,0,false,true,true,34.53580177436441,-110.1993942260742,9144,false,,,,false,false,1618945200
8da84a7b589b83060a002892387c,1618945315.913,1618945315.913,1,a84a7b,false,185.2,9,0,false,false,true,34.53538513183594,-110.2018395248724,9144,false,,,,false,false,1618945200
8da84a7b589b86a3b49ca8fe0153,1618945317.463,1618945317.463,1,a84a7b,false,185.2,9,0,false,true,true,34.53477762513241,-110.2052307128906,9144,false,,,,false,false,1618945200
8da84a7b589b8305e7ffd89b7465,1618945317.94,1618945317.94,1,a84a7b,false,185.2,9,0,false,false,true,34.53456115722656,-110.2063237404337,9144,false,,,,false,false,1618945200
8da84a7b589b8305e1ffc8b76d3b,1618945318.494,1618945318.494,1,a84a7b,false,185.2,9,0,false,false,true,34.534423828125,-110.2072205835459,9144,false,,,,false,false,1618945200
8da84a7b589b86a39c9c712e3e6f,1618945318.739,1618945318.739,1,a84a7b,false,185.2,9,0,false,true,true,34.5342189982786,-110.2083778381348,9144,false,,,,false,false,1618945200
8da84a7b589b8305c7ff90ddfb40,1618945319.699,1618945319.699,1,a84a7b,false,185.2,9,0,false,false,true,34.53382873535156,-110.2103595344388,9144,false,,,,false,false,1618945200
